ID,ANO,MUNICIPIO,COD_CURSO,NOME_CURSO,CENTRO,CPC_ANTIGO,NC,NIDD,NM,ND,NR,NO,NF,NA,CPC2013
36,2011,SANTA MARIA,702,MATEMÁTICA (LICENCIATURA),CCNE,"3,67",3.96,4.10,4.62,3.04,5.00,1.23,2.32,1.66,"3,71"
37,2011,SANTA MARIA,902,LETRAS (LICENCIATURA),CAL,"2,93",2.49,1.91,4.81,3.47,5.00,2.32,4.42,3.16,"3,01"
38,2011,SANTA MARIA,1401,FÍSICA (BACHARELADO),CCNE,"3,52",2.92,4.13,5.00,4.50,5.00,0.56,0.39,0.49,"3,54"
39,2011,SANTA MARIA,1402,FÍSICA (LICENCIATURA),CCNE,"3,19",2.80,3.12,4.65,4.41,5.00,0.89,1.11,0.98,"3,21"
40,2011,SANTA MARIA,1501,QUÍMICA (BACHARELADO),CCNE,"3,2",2.91,2.85,4.48,4.05,5.00,0.17,3.89,1.66,"3,24"
41,2011,SANTA MARIA,1502,QUÍMICA (LICENCIATURA),CCNE,"3,04",2.79,2.41,4.49,3.89,5.00,1.70,2.95,2.20,"3,1"
42,2011,SANTA MARIA,1601,BIOLOGIA (BACHARELADO),CCNE,"1,61",3.29,2.12,0.00,0.00,0.00,0.59,2.20,1.23,"1,64"
43,2011,SANTA MARIA,1602,BIOLOGIA (LICENCIATURA),CCNE,"3,46",3.66,3.11,4.74,4.46,5.00,0.33,2.88,1.35,"3,49"
44,2011,SANTA MARIA,2001,PEDAGOGIA (LICENCIATURA),CE,"3,64",3.43,3.51,4.56,3.55,5.00,2.37,3.98,3.01,"3,72"
45,2011,SANTA MARIA,2402,HISTÓRIA (LICENCIATURA),CCSH,"2,06",1.70,0.31,4.50,3.48,5.00,1.89,3.12,2.38,"2,12"
46,2011,SANTA MARIA,2501,ARTES VISUAIS (LICENCIATURA),CAL,"2,92",2.73,3.09,4.56,2.24,5.00,1.05,2.15,1.49,"2,96"
47,2011,SANTA MARIA,3001,GEOGRAFIA (BACHARELADO),CCNE,"2,27",3.78,3.36,0.00,0.00,0.00,2.30,2.14,2.24,"2,32"
48,2011,SANTA MARIA,3002,GEOGRAFIA (LICENCIATURA),CCNE,"3,26",3.50,2.96,4.73,3.50,5.00,1.11,2.55,1.69,"3,31"
49,2011,SANTA MARIA,3202,FILOSOFIA (LICENCIATURA),CCSH,"3,38",2.86,2.93,4.63,3.89,5.00,1.70,4.58,2.85,"3,45"
50,2011,SANTA MARIA,3501,EDUCAÇÃO FÍSICA (LICENCIATURA),CEFD,"1,66",0.43,0.00,4.75,4.66,5.00,1.00,0.87,0.95,"1,68"
51,2011,SANTA MARIA,4004,COMPUTAÇÃO (BACHARELADO),CT,"3,55",3.95,3.68,4.40,3.38,5.00,2.11,1.39,1.82,"3,6"
52,2011,SANTA MARIA,4301,MÚSICA (LICENCIATURA),CAL,"1,48",0.30,0.30,3.06,2.90,5.00,1.60,2.08,1.79,"1,53"
53,2011,SANTA MARIA,5401,CIÊNCIAS SOCIAIS (BACHARELADO),CCSH,"2,9",2.91,2.08,3.87,3.83,5.00,1.98,2.73,2.28,"2,96"
54,2011,SANTA MARIA,5710,ENGENHARIA (GRUPO I) - ENGENHARIA CIVIL,CT,"2,97",2.71,2.85,3.71,3.04,5.00,1.59,2.73,2.05,"3,02"
55,2011,SANTA MARIA,5806,ENGENHARIA (GRUPO II) - ENGENHARIA ELÉTRICA,CT,"3,1",2.76,3.01,4.00,3.56,5.00,1.51,2.23,1.80,"3,14"
56,2011,SANTA MARIA,5902,ENGENHARIA (GRUPO III) - ENGENHARIA MECÂNICA,CT,"3,16",3.21,3.57,3.53,2.80,5.00,1.72,1.10,1.47,"3,2"
57,2011,SANTA MARIA,6008,ENGENHARIA (GRUPO IV) - ENGENHARIA QUÍMICA,CT,"2,86",2.53,2.68,2.92,2.98,5.00,2.27,2.80,2.49,"2,93"
58,2011,SANTA MARIA,6405,ENGENHARIA (GRUPO VIII) - ENGENHARIA FLORESTAL,CCR,"2,07",1.24,1.24,4.17,3.59,5.00,0.00,2.10,0.84,"2,09"
59,2011,FREDERICO WESTPHALEN,6405,ENGENHARIA (GRUPO VIII) - ENGENHARIA FLORESTAL,CESNORS FW,"3,69",3.28,3.28,4.19,4.32,5.00,3.52,3.75,3.61,"3,78"
60,2012,PALMEIRA DAS MISSOES,1,ADMINISTRAÇÃO,CESNORS PM,"3,85",4.08,4.20,4.89,3.50,5.00,2.28,1.73,2.06,"3,91"
61,2012,SANTA MARIA,1,ADMINISTRAÇÃO,CCSH,"3,81",4.49,3.35,4.24,4.18,5.00,2.19,3.42,2.68,"3,88"
62,2012,SANTA MARIA,2,DIREITO,CCSH,"3,82",4.74,3.93,4.55,4.23,5.00,1.47,0.44,1.06,"3,84"
63,2012,SANTA MARIA,13,CIÊNCIAS ECONÔMICAS,CCSH,"2,67",2.37,2.51,4.15,2.69,5.00,2.08,0.99,1.65,"2,71"
64,2012,SANTA MARIA,22,CIÊNCIAS CONTÁBEIS,CCSH,"3,56",4.31,3.60,4.29,2.33,5.00,3.44,1.71,2.75,"3,62"
65,2012,SANTA MARIA,26,DESIGN,CAL,"3,69",3.86,4.14,4.19,2.82,5.00,1.55,3.29,2.24,"3,75"
66,2012,SANTA MARIA,803,JORNALISMO,CCSH,"1,56",0.29,0.00,4.54,3.93,5.00,0.83,1.75,1.20,"1,59"
67,2012,FREDERICO WESTPHALEN,803,JORNALISMO,CESNORS FW,"3,82",4.10,4.45,4.22,2.09,5.00,3.33,2.53,3.01,"3,9"
68,2012,SANTA MARIA,804,PUBLICIDADE E PROPAGANDA,CCSH,"3,1",3.05,2.33,4.58,4.17,5.00,2.17,2.20,2.18,"3,15"
69,2013,SANTA MARIA,5,MEDICINA VETERINÁRIA,CCR,"3,32",3.77,2.55,4.18,4.06,5.00,2.19,2.56,3.23,"3,38"
70,2013,SANTA MARIA,6,ODONTOLOGIA,CCS,"3,45",4.06,3.33,3.94,3.62,5.00,1.38,1.96,2.19,"3,49"
71,2013,SANTA MARIA,12,MEDICINA,CCS,"2,41",3.17,1.77,3.44,2.32,5.00,1.04,1.51,0.87,"2,45"
72,2013,FREDERICO WESTPHALEN,17,AGRONOMIA,CESNORS FW,"3,54",3.22,3.63,4.21,4.02,5.00,2.13,2.07,2.57,"3,59"
73,2013,SANTA MARIA,17,AGRONOMIA,CCR,"3,67",3.69,3.73,4.71,3.99,5.00,1.20,2.71,3.04,"3,74"
74,2013,SANTA MARIA,19,FARMÁCIA,CCS,"3,2",3.10,2.61,4.59,4.20,5.00,1.72,2.16,3.36,"3,26"
75,2013,SANTA MARIA,23,ENFERMAGEM,CCS,"3,12",3.16,2.74,3.97,3.85,5.00,1.81,1.64,2.58,"3,16"
76,2013,PALMEIRA DAS MISSOES,23,ENFERMAGEM,CESNORS PM,"3,72",3.51,3.88,4.59,3.25,5.00,2.78,3.14,3.60,"3,8"
