campus,area,codigo_curso,uf,municipio
CAMPUS CACHOEIRA DO SUL,ENGENHARIA MECÂNICA,5902,RS,Cachoeira do Sul
CAMPUS CACHOEIRA DO SUL,ENGENHARIA MECÂNICA,5902,RS,Santa Maria
CAMPUS CACHOEIRA DO SUL,ENGENHARIA MECÂNICA,5902,SP,São Paulo
CAMPUS DE FREDERICO WESTPHALEN,AGRONOMIA,17,RS,Tapejara
CAMPUS DE FREDERICO WESTPHALEN,AGRONOMIA,17,RS,Novo Xingu
CAMPUS DE FREDERICO WESTPHALEN,AGRONOMIA,17,RS,Jaboticaba
CAMPUS DE FREDERICO WESTPHALEN,AGRONOMIA,17,RS,Frederico Westphalen
CAMPUS DE FREDERICO WESTPHALEN,AGRONOMIA,17,RS,Sarandi
CAMPUS DE FREDERICO WESTPHALEN,AGRONOMIA,17,RS,Palmeira das Missões
CAMPUS DE FREDERICO WESTPHALEN,AGRONOMIA,17,RS,Santo Augusto
CAMPUS DE FREDERICO WESTPHALEN,AGRONOMIA,17,RS,Coronel Bicaco
CAMPUS DE FREDERICO WESTPHALEN,AGRONOMIA,17,RS,Jóia
CAMPUS DE FREDERICO WESTPHALEN,AGRONOMIA,17,RS,Constantina
CAMPUS DE FREDERICO WESTPHALEN,AGRONOMIA,17,RS,Boa Vista do Buricá
CAMPUS DE FREDERICO WESTPHALEN,AGRONOMIA,17,RS,Passo Fundo
CAMPUS DE FREDERICO WESTPHALEN,AGRONOMIA,17,RS,Porto Alegre
CAMPUS DE FREDERICO WESTPHALEN,AGRONOMIA,17,RS,Caiçara
CAMPUS DE FREDERICO WESTPHALEN,AGRONOMIA,17,RS,São José do Inhacorá
CAMPUS DE FREDERICO WESTPHALEN,AGRONOMIA,17,RJ,Rio de Janeiro
CAMPUS DE FREDERICO WESTPHALEN,AGRONOMIA,17,RS,Tupanciretã
CAMPUS DE FREDERICO WESTPHALEN,AGRONOMIA,17,RS,Palmeira das Missões
CAMPUS DE FREDERICO WESTPHALEN,AGRONOMIA,17,RS,Erval Seco
CAMPUS DE FREDERICO WESTPHALEN,COMUNICAÇÃO SOCIAL - JORNALISMO,803,SP,São José dos Campos
CAMPUS DE FREDERICO WESTPHALEN,COMUNICAÇÃO SOCIAL - JORNALISMO,803,SC,Itapiranga
CAMPUS DE FREDERICO WESTPHALEN,COMUNICAÇÃO SOCIAL - JORNALISMO,803,SP,São Paulo
CAMPUS DE FREDERICO WESTPHALEN,COMUNICAÇÃO SOCIAL - JORNALISMO,803,SC,Itapiranga
CAMPUS DE FREDERICO WESTPHALEN,COMUNICAÇÃO SOCIAL - JORNALISMO,803,SP,São Paulo
CAMPUS DE FREDERICO WESTPHALEN,COMUNICAÇÃO SOCIAL - JORNALISMO,803,PR,Renascença
CAMPUS DE FREDERICO WESTPHALEN,ENGENHARIA FLORESTAL,6405,SP,Irapuã
CAMPUS DE FREDERICO WESTPHALEN,ENGENHARIA FLORESTAL,6405,SC,Cunha Porã
CAMPUS DE FREDERICO WESTPHALEN,ENGENHARIA FLORESTAL,6405,SC,Joinville
CAMPUS DE FREDERICO WESTPHALEN,ENGENHARIA FLORESTAL,6405,RS,Santa Maria
CAMPUS DE FREDERICO WESTPHALEN,ENGENHARIA FLORESTAL,6405,RS,Tenente Portela
CAMPUS DE FREDERICO WESTPHALEN,ENGENHARIA FLORESTAL,6405,GO,Luziânia
CAMPUS DE FREDERICO WESTPHALEN,ENGENHARIA FLORESTAL,6405,RS,São Luiz Gonzaga
CAMPUS DE FREDERICO WESTPHALEN,ENGENHARIA FLORESTAL,6405,RS,Vera Cruz
CAMPUS DE FREDERICO WESTPHALEN,ENGENHARIA FLORESTAL,6405,RS,Gramado
CAMPUS  - SANTA MARIA - CAMOBI,ADMINISTRAÇÃO,1,RS,Cândido Godói
CAMPUS  - SANTA MARIA - CAMOBI,ADMINISTRAÇÃO,1,RS,Santa Maria
