AREA,UF,REGIAO,ANO,CPCCONTINUO,NOTACONCLUINTES,NOTAPADRONIZADAIDD,NOTAPADRONIZADAMESTRES,NOTAPADRONIZADADOUTORES,NOMEIES,SIGLAIES,PUB_PRIV,CATADMINISTRATIVA,ORGACADEMICA,MUNICIPIOCURSO,NOTAPADRONIZADADREGIME,NOTAPADRONIZADAPEDAG,CPC_FAIXA,NOTAPADRONIZADAINFRA,INGRESSANTESPARTICIPANTES,INGRESSANTESINSCRITOS,COD_AREA,COD_IES,AMPLIACAOFORMACAO_NA,CPC_FORMULA2013
ADMINISTRAÇÃO,PR,1,2012,2.79,2.79,3.08,3.00,0.00,FACULDADE INTEGRADO DE CAMPO MOURÃO,CEI,Privada,Faculdade,CAMPO MOURAO,3.00,4.44,3.00,5.00,62,111,1,4104303,1078,4.67,2.79
ADMINISTRAÇÃO,PR,1,2012,1.87,1.79,1.58,2.89,0.74,FACULDADE ARTHUR THOMAS,CESA,Privada,Faculdade,LONDRINA,0.79,3.19,2.00,4.41,103,268,1,4113700,2513,3.68,1.85
ADMINISTRAÇÃO,MG,0,2012,1.96,2.28,1.81,3.54,0.29,CENTRO DE EDUCAÇÃO SUPERIOR BARNABITA,CESB,Privada,Faculdade,BELO HORIZONTE,1.67,1.87,3.00,3.98,24,42,1,3106200,4053,2.72,1.93
ADMINISTRAÇÃO,PR,1,2012,2.31,2.51,2.44,2.50,0.00,FACULDADES INTEGRADAS DOS CAMPOS GERAIS,CESCAGE,Privada,Faculdade,PONTA GROSSA,1.50,4.27,3.00,4.42,62,101,1,4119905,3193,4.33,2.31
ADMINISTRAÇÃO,RS,1,2012,2.57,2.37,2.95,3.87,0.68,CENTRO DE ENSINO SUPERIOR CENECISTA DE FARROUPILHA,CESF,Privada,Faculdade,FARROUPILHA,2.26,3.40,3.00,3.27,17,60,1,4307906,631,3.35,2.57
ADMINISTRAÇÃO,AM,0,2012,2.49,1.58,2.07,4.07,1.56,INSTITUTO DE ENSINO SUPERIOR FUCAPI,CESF,Privada,Faculdade,MANAUS,4.26,3.67,3.00,4.23,69,153,1,1302603,1049,3.89,2.48
ADMINISTRAÇÃO,MG,0,2012,1.61,0.83,0.43,3.93,1.00,FACULDADE DE CIÊNCIAS GERENCIAIS DE SÃO GOTARDO,CESG,Privada,Faculdade,SAO GOTARDO,3.93,2.83,2.00,4.53,20,43,1,3162104,2763,3.51,1.58
ADMINISTRAÇÃO,AL,0,2012,2.65,2.23,3.03,2.67,0.81,CENTRO UNIVERSITÁRIO CESMAC,CESMAC,Privada,Centro Universitário,MACEIO,1.86,4.34,3.00,4.80,56,123,1,2704302,621,4.53,2.65
ADMINISTRAÇÃO,PR,1,2012,2.10,1.71,1.76,3.43,0.80,FACULDADE MARINGÁ,CESPAR,Privada,Faculdade,MARINGA,3.43,3.10,3.00,3.67,62,176,1,4115200,1079,3.33,2.09
ADMINISTRAÇÃO,SP,0,2012,2.30,1.75,2.73,1.67,0.00,FACULDADE DE PRIMAVERA,CESPRI,Privada,Faculdade,ROSANA,3.00,4.02,3.00,4.53,16,40,1,3544251,1413,4.22,2.29
ADMINISTRAÇÃO,PR,1,2012,2.20,2.15,2.70,1.11,0.52,FACULDADE DE REALEZA,CESREAL,Privada,Faculdade,REALEZA,1.67,3.03,3.00,4.18,36,55,1,4121406,1800,3.49,2.18
ADMINISTRAÇÃO,SP,0,2012,2.67,2.39,2.85,2.71,0.58,FACULDADE DE TUPI PAULISTA,CESTUPI,Privada,Faculdade,TUPI PAULISTA,2.50,4.57,3.00,5.00,9,24,1,3555109,2205,4.74,2.66
ADMINISTRAÇÃO,GO,0,2012,2.22,1.61,1.66,4.00,1.40,CENTRO DE ENSINO SUPERIOR DE CATALÃO,CESUC,Privada,Faculdade,CATALAO,3.25,3.26,3.00,4.29,73,155,1,5205109,754,3.67,2.21
ADMINISTRAÇÃO,RS,1,2012,4.09,3.64,3.82,5.00,3.73,FACULDADE INEDI,CESUCA,Privada,Faculdade,CACHOEIRINHA,4.67,4.90,5.00,5.00,36,142,1,4303103,3443,4.94,4.09
ADMINISTRAÇÃO,PA,0,2012,2.60,2.40,2.08,3.83,1.17,CENTRO UNIVERSITÁRIO DO ESTADO DO PARÁ,CESUPA,Privada,Centro Universitário,BELEM,4.00,3.57,3.00,4.78,63,91,1,1501402,792,4.05,2.58
ADMINISTRAÇÃO,BA,0,2012,2.37,1.71,1.82,3.54,1.46,CENTRO DE ENSINO SUPERIOR DE ILHÉUS,CESUPI,Privada,Faculdade,ILHEUS,5.00,2.74,3.00,4.41,33,48,1,2913606,2771,3.41,2.35
ADMINISTRAÇÃO,GO,0,2012,1.61,1.69,1.64,2.50,0.35,CENTRO DE ENSINO SUPERIOR DE JATAÍ,CESUT,Privada,Faculdade,JATAI,0.25,2.38,2.00,3.55,37,85,1,5211909,755,2.85,1.60
ADMINISTRAÇÃO,PI,0,2012,2.03,1.35,2.17,1.50,0.23,CENTRO DE ENSINO SUPERIOR DO VALE DO PARNAÍBA,CESVALE,Privada,Faculdade,TERESINA,4.83,3.05,3.00,3.45,17,36,1,2211001,749,3.21,2.02
ADMINISTRAÇÃO,SP,0,2012,2.88,2.18,1.93,4.56,3.11,CENTRO UNIVERSITÁRIO CLARETIANO,CEUCLAR,Privada,Centro Universitário,BATATAIS,4.33,3.69,3.00,4.85,92,325,1,3505906,135,4.16,2.87
