ano,codies,nomeies,sigla,Publica,categoriaadm,orgacademica,uf,igc_continuo,igc_faixa
2013,3188,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS",IFNMG,1,Pública,"Instituto Federal de Educação, Ciência e Tecnologia",MG,2.64,3
2013,266,UNIVERSIDADE METODISTA DE PIRACICABA,UNIMEP,0,Privada,Universidade,SP,2.63,3
2013,1036,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,1,Pública,Universidade,MG,2.63,3
2013,756,UNIVERSIDADE ESTADUAL DO PIAUÍ,UESPI,1,Pública,Universidade,PI,2.62,3
2013,355,UNIVERSIDADE TUIUTI DO PARANÁ,UTP,0,Privada,Universidade,PR,2.62,3
2013,140,UNIVERSIDADE SEVERINO SOMBRA,USS,0,Privada,Universidade,RJ,2.61,3
2013,746,UNIVERSIDADE REGIONAL DO CARIRI,URCA,1,Pública,Universidade,CE,2.61,3
2013,4785,INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA,IFRO,1,Pública,"Instituto Federal de Educação, Ciência e Tecnologia",RO,2.61,3
2013,1809,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",IFPE,1,Pública,"Instituto Federal de Educação, Ciência e Tecnologia",PE,2.60,3
2013,167,UNIVERSIDADE METODISTA DE SÃO PAULO,UMESP,0,Privada,Universidade,SP,2.60,3
2013,1586,UNIVERSIDADE DO VALE DO SAPUCAÍ,UNIVÁS,0,Privada,Universidade,MG,2.59,3
2013,150,UNIVERSIDADE DE SOROCABA,UNISO,0,Privada,Universidade,SP,2.59,3
2013,549,UNIVERSIDADE FEDERAL DO ACRE,UFAC,1,Pública,Universidade,AC,2.58,3
2013,18759,UNIVERSIDADE FEDERAL DO CARIRI,UFCA,1,Pública,Universidade,CE,2.57,3
2013,3172,UNIVERSIDADE DO ESTADO DO AMAZONAS,UEA,1,Pública,Universidade,AM,2.57,3
2013,81,UNIVERSIDADE DA REGIÃO DE JOINVILLE,UNIVILLE,0,Privada,Universidade,SC,2.57,3
2013,496,UNIVERSIDADE DE FRANCA,UNIFRAN,0,Privada,Universidade,SP,2.56,3
2013,30,UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO,UNIFENAS,0,Privada,Universidade,MG,2.54,3
2013,830,UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,1,Pública,Universidade,AP,2.54,3
2013,19,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,0,Privada,Universidade,SP,2.53,3
2013,526,UNIVERSIDADE BRAZ CUBAS,UBC,0,Privada,Universidade,SP,2.53,3
2013,409,UNIVERSIDADE DE PERNAMBUCO,UPE,1,Pública,Universidade,PE,2.53,3
2013,719,UNIVERSIDADE DO ESTADO DE MATO GROSSO,UNEMAT,1,Pública,Universidade,MT,2.53,3
2013,1028,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,UEMS,1,Pública,Universidade,MS,2.51,3
2013,417,UNIVERSIDADE CIDADE DE SÃO PAULO,UNICID,0,Privada,Universidade,SP,2.51,3
2013,600,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",IFMA,1,Pública,"Instituto Federal de Educação, Ciência e Tecnologia",MA,2.48,3
2013,215,UNIVERSIDADE DO GRANDE ABC,UNIABC,0,Privada com fins lucrativos,Universidade,SP,2.47,3
2013,1557,UNIVERSIDADE FUMEC,FUMEC,0,Privada,Universidade,MG,2.47,3
2013,1807,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ",IFCE,1,Pública,"Instituto Federal de Educação, Ciência e Tecnologia",CE,2.46,3
2013,590,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,1,Pública,Universidade,PA,2.46,3
2013,163,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,0,Privada,Universidade,RJ,2.46,3
2013,521,UNIVERSIDADE DE MOGI DAS CRUZES,UMC,0,Privada,Universidade,SP,2.46,3
2013,40,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,1,Pública,Universidade,BA,2.45,3
