_id,Ano,Municipio,codigo_curso,nome_curso,centro,CPC_Continuo,nc,nidd,nm,nd,nr,no,nf,na,cpc_f2013,t_ies_br,t_ies_sul,t_ies_rs,t_ifes_br,t_ifes_sul,t_ifes_rs,posicaobrasilcpc,posicaorscpc,posicaopublicabrasilcpc,posicaopublicarscpc,posicaosulcpc,posicaoifescpc,posicaobrasilinfra,posicaorsinfra,posicaopublicabrasilinfra,posicaopublicarsinfra,posicaosulinfra,posicaoifesinfra,posicaobrasilpedag,posicaorspedag,posicaopublicabrasilpedag,posicaopublicarspedag,posicaosulpedag,posicaoifespedag,posicaobrasilregime,posicaorsregime,posicaopublicabrasilregime,posicaopublicarsregime,posicaosulregime,posicaoifesregime,posicaobrasildoutor,posicaorsdoutor,posicaopublicabrasildoutor,posicaopublicarsdoutor,posicaosuldoutor,posicaoifesdoutor,posicaobrasilidd,posicaorsidd,posicaopublicabrasilidd,posicaopublicarsidd,posicaosulidd,posicaoifesidd,posicaobrasilenade,posicaorsenade,posicaopublicabrasilenade,posicaopublicarsenade,posicaosulenade,posicaoifesenade,posicaobrasilmestre,posicaorsmestre,posicaopublicabrasilmestre,posicaopublicarsmestre,posicaosulmestre,posicaoifesmestre,posicaobrasilampliacao,posicaorsampliacao,posicaopublicabrasilampliacao,posicaopublicarsampliacao,posicaosulampliacao,posicaoifesampliacao,distanciabrasilcpc,distanciarscpc,distanciapublicacpc,distanciapublicarscpc,distanciasulcpc,distanciaifescpc,distanciabrasilenade,distanciarsenade,distanciapublicaenade,distanciapublicarsenade,distanciasulenade,distanciaifesenade,media_ies_br,media_ies_sul,media_ies_rs,media_ifes_br,media_ifes_sul,media_ifes_rs,max_ies_br,max_ies_sul,max_ies_rs,max_ifes_br,max_ifes_sul,max_ifes_rs,CPC_Faixa,Concluintes_Inscritos,Concluintes_Participantes,Concluintes_Participantes_nota_Enem,Num_Docentes,Num_Matrículas,id_centro,Enade_Faixa,Obs
,2007,SANTA MARIA,36,FISIOTERAPIA,CCS,,,,,3.4211,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,0,,38,,4,,
,2007,PALMEIRA DAS MISSOES,51,ZOOTECNIA,PM Campus,,,,,2.8571,5,,,,,48,8,1,48,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,3.04,2.68,2.64,3.04,2.68,4.42,4.2,2.68,4.42,4.2,2.68,SC,,0,,7,,9,,
,2007,SANTA MARIA,51,ZOOTECNIA,CCR,2.6767,3.3311,1.8782,,2.3333,5,0.8333,2.7419,1.59674,,48,8,1,48,8,1,23,1,23,1,6,6,23,1,23,1,4,4,43,1,43,1,7,7,1,1,1,1,1,1,25,1,25,1,5,5,18,1,18,1,4,4,15,1,15,1,4,4,,,,,,,36,1,36,1,6,6,,,,,,,,,,,,,2.64,3.04,2.68,2.64,3.04,2.68,4.42,4.2,2.68,4.42,4.2,2.68,3,,39,,45,,3,4,
,2008,SANTA MARIA,702,MATEMÁTICA (LICENCIATURA),CCNE,2.97,3.19,2.42,4.13,2.91,5,1.74,2.47,2.032,2.91105,315,61,32,155,22,4,51,5,39,3,15,12,238,30,85,4,57,20,229,28,87,3,53,17,1,1,1,1,1,1,39,4,32,2,8,6,126,14,75,3,29,13,44,5,35,3,12,9,84,17,44,2,30,11,230,28,80,3,55,19,,,,,,,,,,,,,2.22,2.48,2.4,2.37,2.79,3.23,4.72,4.27,4.27,4.72,4.27,4.27,4,,32,,63,,2,4,
,2008,SANTA MARIA,902,LETRAS (LICENCIATURA),CAL,3.1,3.29,2.64,4.33,3.54,5,1.38,1.31,1.352,3.01555,484,73,36,168,21,4,57,11,33,4,13,6,432,34,125,4,71,21,440,34,146,4,70,20,1,1,1,1,1,1,38,6,28,2,9,5,185,18,88,4,28,13,82,9,46,3,12,6,97,18,34,1,29,7,452,34,148,4,70,20,,,,,,,,,,,,,2.32,2.52,2.77,2.51,2.75,3.35,4.71,3.84,3.84,4.71,3.84,3.84,4,,23,,30,,1,4,
,2008,SANTA MARIA,14,FÍSICA (LICENCIATURA e BACHARELADO),CCNE,3.16,3.51,3.35,3.57,3.27,5,1.9,2,1.94,3.29875,97,17,10,77,11,4,23,3,22,2,7,6,78,10,58,4,17,11,61,8,46,2,15,9,1,1,1,1,1,1,29,3,27,2,8,7,15,2,13,2,4,4,16,2,15,2,4,4,61,8,46,2,15,9,79,10,59,4,17,11,,,,,,,,,,,,,2.72,3.05,2.99,2.76,3.07,2.98,4.23,3.9,3.9,4.23,3.9,3.9,4,,36,,84,,2,4,
,2008,SANTA MARIA,1502,QUÍMICA (LICENCIATURA),CCNE,3.52,3.76,3.84,4.42,3.49,5,1.34,2.3,1.724,3.5846,155,29,17,88,14,4,19,2,19,2,3,3,109,16,43,3,25,10,135,16,68,3,26,11,1,1,1,1,1,1,26,2,26,2,7,7,19,1,16,1,4,3,13,1,13,1,1,1,57,10,36,2,18,9,125,16,59,3,27,12,,,,,,,,,,,,,2.58,2.83,2.72,2.79,2.98,2.92,4.32,3.75,3.61,4.32,3.75,3.61,4,,37,,146,,2,4,
,2008,SANTA MARIA,1602,CIÊNCIAS BIOLÓGICAS (LICENCIATURA),CCNE,2.98,3.09,1.57,4.68,3.87,5,1.2,1.57,1.348,2.6762,378,72,29,138,17,4,78,11,44,4,23,11,303,27,72,4,68,16,351,29,117,4,69,16,1,1,1,1,1,1,30,3,28,2,6,5,310,27,112,4,64,16,65,6,45,3,17,10,69,10,33,2,22,7,344,29,106,4,71,17,,,,,,,,,,,,,2.4,2.64,2.65,2.56,3.09,3.31,4.44,3.83,3.64,4.44,3.83,3.54,4,,31,,53,,2,4,
,2008,SANTA MARIA,2001,PEDAGOGIA (LICENCIATURA),CE,3.37,3.87,3.56,3.67,2.53,5,1.99,3.29,2.51,3.42625,763,130,39,190,29,4,46,6,35,3,12,7,417,37,29,2,101,12,645,37,134,3,119,23,1,1,1,1,1,1,76,9,48,3,17,9,105,11,38,2,29,9,40,3,25,2,8,7,279,29,90,3,69,19,576,37,88,2,115,20,,,,,,,,,,,,,2.31,2.56,2.89,2.5,2.89,3.5,4.6,4,3.89,4.6,4,3.89,4,,130,,49,,6,4,
,2008,SANTA MARIA,21,ARQUITETURA E URBANISMO,CT,3.32,4.69,3.87,3.21,3.08,5,1.82,0.98,1.484,3.59285,154,41,19,37,11,3,15,2,13,2,6,6,144,18,29,2,38,8,127,18,25,3,38,9,1,1,1,1,1,1,24,2,18,2,6,5,14,4,5,2,5,2,3,2,3,2,3,3,70,11,24,2,22,8,143,19,28,3,39,9,,,,,,,,,,,,,2.45,2.72,2.81,2.87,3.06,3.32,4.36,4.34,4.34,4.36,4.34,4.34,4,,26,,42,,10,5,
