Centro,Ano,Cód. Curso,Nome do Curso,Ingressantes 'x' anos atrás,Formados,Matriculados,TSG - Taxa de Titulação,TSG Média Cursos do Centro,TSG Média Cursos da UFSM,Ano de Ingresso
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2009,123,Física - Bacharelado,28,9,97,32.14,34.40,51.69,2006
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2010,123,Física - Bacharelado,24,10,93,41.66,51.28,56.18,2007
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2011,123,Física - Bacharelado,23,6,94,26.08,39.96,49.65,2008
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2012,123,Física - Bacharelado,25,6,88,24.00,31.87,46.73,2009
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2013,123,Física - Bacharelado,24,5,83,20.83,108.33,62.08,2010
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2014,123,Física - Bacharelado,34,2,78,5.88,28.98,42.85,2011
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2015,123,Física - Bacharelado,27,3,76,11.11,8.90,23.12,2012
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2008,102,Física - Licenciatura Plena,29,11,112,37.93,39.48,43.15,2005
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2009,102,Física - Licenciatura Plena,27,6,101,22.22,34.40,51.69,2006
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2010,102,Física - Licenciatura Plena,29,9,105,31.03,51.28,56.18,2007
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2011,102,Física - Licenciatura Plena,27,10,101,37.03,39.96,49.65,2008
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2012,102,Física - Licenciatura Plena,28,11,99,39.28,31.87,46.73,2009
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2013,102,Física - Licenciatura Plena,21,0,90,0.00,108.33,62.08,2010
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2014,102,Física - Licenciatura Plena,28,5,88,17.85,28.98,42.85,2011
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2015,102,Física - Licenciatura Plena,26,3,77,11.53,8.90,23.12,2012
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2008,126,Física - Licenciatura Plena Noturno,31,7,131,22.58,39.48,43.15,2005
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2009,126,Física - Licenciatura Plena Noturno,36,15,126,41.66,34.40,51.69,2006
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2010,126,Física - Licenciatura Plena Noturno,36,5,121,13.88,51.28,56.18,2007
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2011,126,Física - Licenciatura Plena Noturno,32,8,131,25.00,39.96,49.65,2008
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2012,126,Física - Licenciatura Plena Noturno,34,5,122,14.70,31.87,46.73,2009
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2013,126,Física - Licenciatura Plena Noturno,27,7,114,25.92,108.33,62.08,2010
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2014,126,Física - Licenciatura Plena Noturno,22,2,96,9.09,28.98,42.85,2011
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2015,126,Física - Licenciatura Plena Noturno,27,6,91,22.22,8.90,23.12,2012
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2009,210,Fisioterapia,43,28,213,65.11,75.05,51.69,2005
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2010,210,Fisioterapia,43,39,203,90.69,79.22,56.18,2006
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2011,210,Fisioterapia,46,42,200,91.30,84.03,49.65,2007
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2012,210,Fisioterapia,48,22,201,45.83,71.15,46.73,2008
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2013,210,Fisioterapia,43,33,199,76.74,78.59,62.08,2009
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2014,210,Fisioterapia,44,26,203,59.09,68.70,42.85,2010
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2015,210,Fisioterapia,47,19,203,40.42,30.10,23.12,2011
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2009,204,Fonoaudiologia,25,24,97,96.00,75.05,51.69,2005
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2010,204,Fonoaudiologia,25,9,100,36.00,79.22,56.18,2006
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2011,204,Fonoaudiologia,27,23,100,85.18,84.03,49.65,2007
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2012,204,Fonoaudiologia,26,16,101,61.53,71.15,46.73,2008
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2013,204,Fonoaudiologia,28,13,96,46.42,78.59,62.08,2009
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2014,204,Fonoaudiologia,28,16,95,57.14,68.70,42.85,2010
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2015,204,Fonoaudiologia,30,1,108,3.33,30.10,23.12,2011
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2008,122,Geografia - Bacharelado,34,20,108,58.82,39.48,43.15,2005
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2009,122,Geografia - Bacharelado,44,10,126,22.72,34.40,51.69,2006
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2010,122,Geografia - Bacharelado,45,9,149,20.00,51.28,56.18,2007
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2011,122,Geografia - Bacharelado,36,12,150,33.33,39.96,49.65,2008
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2012,122,Geografia - Bacharelado,36,13,138,36.11,31.87,46.73,2009
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2013,122,Geografia - Bacharelado,29,10,127,34.48,108.33,62.08,2010
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2014,122,Geografia - Bacharelado,44,13,142,29.54,28.98,42.85,2011
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2015,122,Geografia - Bacharelado,42,1,136,2.38,8.90,23.12,2012
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2008,121,Geografia - Licenciatura Plena,41,25,210,60.97,39.48,43.15,2005
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2009,121,Geografia - Licenciatura Plena,55,21,202,38.18,34.40,51.69,2006
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2010,121,Geografia - Licenciatura Plena,44,19,181,43.18,51.28,56.18,2007
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2011,121,Geografia - Licenciatura Plena,48,16,180,33.33,39.96,49.65,2008
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2012,121,Geografia - Licenciatura Plena,47,22,175,46.80,31.87,46.73,2009
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2013,121,Geografia - Licenciatura Plena,44,26,178,59.09,108.33,62.08,2010
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2014,121,Geografia - Licenciatura Plena,46,20,168,43.47,28.98,42.85,2011
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2015,121,Geografia - Licenciatura Plena,41,3,161,7.31,8.90,23.12,2012
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2008,130,História,41,15,112,36.58,51.17,43.15,2005
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2009,130,História,41,23,141,56.09,63.77,51.69,2006
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2010,130,História,46,19,174,41.30,59.10,56.18,2007
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2011,130,História,40,16,177,40.00,58.36,49.65,2008
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2012,130,História,58,12,206,20.68,51.44,46.73,2009
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2013,130,História,62,35,203,56.45,48.39,62.08,2010
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2014,130,História,52,26,212,50.00,54.43,42.85,2011
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2015,130,História,54,2,224,3.70,12.51,23.12,2012
CENTRO DE ARTES E LETRAS - CAL,2008,735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,37,22,83,59.45,27.90,43.15,2005
CENTRO DE ARTES E LETRAS - CAL,2009,735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,42,18,109,42.85,42.42,51.69,2006
CENTRO DE ARTES E LETRAS - CAL,2010,735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,44,25,141,56.81,41.47,56.18,2007
CENTRO DE ARTES E LETRAS - CAL,2011,735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,46,17,149,36.95,37.69,49.65,2008
CENTRO DE ARTES E LETRAS - CAL,2012,735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,43,14,151,32.55,53.10,46.73,2009
CENTRO DE ARTES E LETRAS - CAL,2013,735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,47,15,158,31.91,41.82,62.08,2010
CENTRO DE ARTES E LETRAS - CAL,2014,735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,54,18,150,33.33,32.31,42.85,2011
CENTRO DE ARTES E LETRAS - CAL,2015,735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,51,4,155,7.84,12.44,23.12,2012
CENTRO DE ARTES E LETRAS - CAL,2008,737,Letras - Lic.- Hab. Espanhol e Literaturas Língua Espanhola,34,8,106,23.52,27.90,43.15,2005
CENTRO DE ARTES E LETRAS - CAL,2009,737,Letras - Lic.- Hab. Espanhol e Literaturas Língua Espanhola,40,15,120,37.50,42.42,51.69,2006
CENTRO DE ARTES E LETRAS - CAL,2010,737,Letras - Lic.- Hab. Espanhol e Literaturas Língua Espanhola,35,12,133,34.28,41.47,56.18,2007
CENTRO DE ARTES E LETRAS - CAL,2011,737,Letras - Lic.- Hab. Espanhol e Literaturas Língua Espanhola,34,6,150,17.64,37.69,49.65,2008
CENTRO DE ARTES E LETRAS - CAL,2012,737,Letras - Lic.- Hab. Espanhol e Literaturas Língua Espanhola,41,7,158,17.07,53.10,46.73,2009
CENTRO DE ARTES E LETRAS - CAL,2013,737,Letras - Lic.- Hab. Espanhol e Literaturas Língua Espanhola,42,10,154,23.80,41.82,62.08,2010
CENTRO DE ARTES E LETRAS - CAL,2014,737,Letras - Lic.- Hab. Espanhol e Literaturas Língua Espanhola,59,5,163,8.47,32.31,42.85,2011
CENTRO DE ARTES E LETRAS - CAL,2015,737,Letras - Lic.- Hab. Espanhol e Literaturas Língua Espanhola,48,3,172,6.25,12.44,23.12,2012
CENTRO DE ARTES E LETRAS - CAL,2008,736,Letras - Lic.- Hab. Inglês e Literaturas Língua Inglesa,38,11,90,28.94,27.90,43.15,2005
CENTRO DE ARTES E LETRAS - CAL,2009,736,Letras - Lic.- Hab. Inglês e Literaturas Língua Inglesa,35,7,115,20.00,42.42,51.69,2006
CENTRO DE ARTES E LETRAS - CAL,2010,736,Letras - Lic.- Hab. Inglês e Literaturas Língua Inglesa,40,10,134,25.00,41.47,56.18,2007
CENTRO DE ARTES E LETRAS - CAL,2011,736,Letras - Lic.- Hab. Inglês e Literaturas Língua Inglesa,41,11,143,26.82,37.69,49.65,2008
CENTRO DE ARTES E LETRAS - CAL,2012,736,Letras - Lic.- Hab. Inglês e Literaturas Língua Inglesa,44,7,141,15.90,53.10,46.73,2009
CENTRO DE ARTES E LETRAS - CAL,2013,736,Letras - Lic.- Hab. Inglês e Literaturas Língua Inglesa,42,16,138,38.09,41.82,62.08,2010
CENTRO DE ARTES E LETRAS - CAL,2014,736,Letras - Lic.- Hab. Inglês e Literaturas Língua Inglesa,50,21,154,42.00,32.31,42.85,2011
CENTRO DE ARTES E LETRAS - CAL,2015,736,Letras - Lic.- Hab. Inglês e Literaturas Língua Inglesa,52,5,160,9.61,12.44,23.12,2012
CENTRO DE EDUCAÇÃO - CE,2012,637,Licenciatura em Educação Especial - Noturno,45,0,45,0.00,63.84,46.73,2009
CENTRO DE EDUCAÇÃO - CE,2013,637,Licenciatura em Educação Especial - Noturno,48,13,73,27.08,59.27,62.08,2010
CENTRO DE EDUCAÇÃO - CE,2014,637,Licenciatura em Educação Especial - Noturno,75,18,134,24.00,46.89,42.85,2011
CENTRO DE EDUCAÇÃO - CE,2015,637,Licenciatura em Educação Especial - Noturno,51,2,168,3.92,12.43,23.12,2012
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2013,526,Licenciatura em Sociologia,33,4,33,12.12,48.39,62.08,2010
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2014,526,Licenciatura em Sociologia,54,12,78,22.22,54.43,42.85,2011
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2015,526,Licenciatura em Sociologia,56,3,117,5.35,12.51,23.12,2012
CENTRO DE ARTES E LETRAS - CAL,2013,756,Licenciatura em Teatro,11,1,9,9.09,41.82,62.08,2010
CENTRO DE ARTES E LETRAS - CAL,2014,756,Licenciatura em Teatro,23,12,30,52.17,32.31,42.85,2011
CENTRO DE ARTES E LETRAS - CAL,2015,756,Licenciatura em Teatro,16,0,38,0.00,12.44,23.12,2012
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2008,132.2,Matemática - Bacharelado,16,2,18,12.50,39.48,43.15,2005
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2010,132.2,Matemática - Bacharelado,8,1,13,12.50,51.28,56.18,2007
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2011,132.2,Matemática - Bacharelado,6,2,11,33.33,39.96,49.65,2008
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2012,132.2,Matemática - Bacharelado,6,1,13,16.66,31.87,46.73,2009
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2013,132.2,Matemática - Bacharelado,3,0,11,0.00,108.33,62.08,2010
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2014,132.2,Matemática - Bacharelado,4,1,14,25.00,28.98,42.85,2011
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2008,132,Matemática - Licenciatura e Bacharelado,50,0,49,0.00,39.48,43.15,2005
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2009,132,Matemática - Licenciatura e Bacharelado,47,1,91,2.12,34.40,51.69,2006
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2010,132,Matemática - Licenciatura e Bacharelado,51,2,116,3.92,51.28,56.18,2007
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2011,132,Matemática - Licenciatura e Bacharelado,52,2,124,3.84,39.96,49.65,2008
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2012,132,Matemática - Licenciatura e Bacharelado,64,1,160,1.56,31.87,46.73,2009
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2013,132,Matemática - Licenciatura e Bacharelado,54,2,138,3.70,108.33,62.08,2010
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2008,125,Matemática - Licenciatura Plena,40,10,186,25.00,39.48,43.15,2005
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2008,132.1,Matemática - Licenciatura Plena,20,13,33,65.00,39.48,43.15,2005
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2009,125,Matemática - Licenciatura Plena,58,8,178,13.79,34.40,51.69,2006
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2009,132.1,Matemática - Licenciatura Plena,87,22,122,25.28,34.40,51.69,2006
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2010,125,Matemática - Licenciatura Plena,61,12,191,19.67,51.28,56.18,2007
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2010,132.1,Matemática - Licenciatura Plena,9,28,87,311.11,51.28,56.18,2007
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2011,125,Matemática - Licenciatura Plena,42,16,198,38.09,39.96,49.65,2008
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2011,132.1,Matemática - Licenciatura Plena,29,14,90,48.27,39.96,49.65,2008
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2012,125,Matemática - Licenciatura Plena,48,11,203,22.91,31.87,46.73,2009
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2012,132.1,Matemática - Licenciatura Plena,19,6,84,31.57,31.87,46.73,2009
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2013,125,Matemática - Licenciatura Plena,55,17,192,30.90,108.33,62.08,2010
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2013,132.1,Matemática - Licenciatura Plena,13,21,68,161.53,108.33,62.08,2010
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2014,125,Matemática - Licenciatura Plena,50,12,181,24.00,28.98,42.85,2011
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2014,132.1,Matemática - Licenciatura Plena,12,7,50,58.33,28.98,42.85,2011
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2015,125,Matemática - Licenciatura Plena,54,0,171,0.00,8.90,23.12,2012
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2015,132.1,Matemática - Licenciatura Plena,7,2,41,28.57,8.90,23.12,2012
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2010,202,Medicina,109,104,674,95.41,79.22,56.18,2005
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2011,202,Medicina,112,99,664,88.39,84.03,49.65,2006
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2012,202,Medicina,107,103,660,96.26,71.15,46.73,2007
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2013,202,Medicina,107,98,658,91.58,78.59,62.08,2008
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2014,202,Medicina,116,95,666,81.89,68.70,42.85,2009
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2015,202,Medicina,118,55,685,46.61,30.10,23.12,2010
CENTRO DE CIÊNCIAS RURAIS - CCR,2009,403,Medicina Veterinária,98,106,580,108.16,77.36,51.69,2005
CENTRO DE CIÊNCIAS RURAIS - CCR,2010,403,Medicina Veterinária,103,98,574,95.14,79.64,56.18,2006
CENTRO DE CIÊNCIAS RURAIS - CCR,2011,403,Medicina Veterinária,110,102,575,92.72,65.17,49.65,2007
CENTRO DE CIÊNCIAS RURAIS - CCR,2012,403,Medicina Veterinária,102,89,577,87.25,61.57,46.73,2008
CENTRO DE CIÊNCIAS RURAIS - CCR,2013,403,Medicina Veterinária,105,95,564,90.47,78.55,62.08,2009
CENTRO DE CIÊNCIAS RURAIS - CCR,2014,403,Medicina Veterinária,119,90,555,75.63,61.34,42.85,2010
CENTRO DE CIÊNCIAS RURAIS - CCR,2015,403,Medicina Veterinária,119,30,562,25.21,21.23,23.12,2011
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2008,131,Meteorologia - Bacharelado,21,6,20,28.57,39.48,43.15,2005
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2009,131,Meteorologia - Bacharelado,22,9,40,40.90,34.40,51.69,2006
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2010,131,Meteorologia - Bacharelado,28,10,60,35.71,51.28,56.18,2007
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2011,131,Meteorologia - Bacharelado,25,8,73,32.00,39.96,49.65,2008
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2012,131,Meteorologia - Bacharelado,31,13,79,41.93,31.87,46.73,2009
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2013,131,Meteorologia - Bacharelado,20,4,81,20.00,108.33,62.08,2010
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2014,131,Meteorologia - Bacharelado,21,8,79,38.09,28.98,42.85,2011
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2015,131,Meteorologia - Bacharelado,25,1,80,4.00,8.90,23.12,2012
CENTRO DE ARTES E LETRAS - CAL,2008,734,Música - Licenciatura Plena,19,11,72,57.89,27.90,43.15,2005
CENTRO DE ARTES E LETRAS - CAL,2009,734,Música - Licenciatura Plena,18,6,77,33.33,42.42,51.69,2006
CENTRO DE ARTES E LETRAS - CAL,2010,734,Música - Licenciatura Plena,17,3,75,17.64,41.47,56.18,2007
CENTRO DE ARTES E LETRAS - CAL,2011,734,Música - Licenciatura Plena,21,6,77,28.57,37.69,49.65,2008
CENTRO DE ARTES E LETRAS - CAL,2012,734,Música - Licenciatura Plena,19,12,78,63.15,53.10,46.73,2009
CENTRO DE ARTES E LETRAS - CAL,2013,734,Música - Licenciatura Plena,21,4,73,19.04,41.82,62.08,2010
CENTRO DE ARTES E LETRAS - CAL,2014,734,Música - Licenciatura Plena,17,4,76,23.52,32.31,42.85,2011
CENTRO DE ARTES E LETRAS - CAL,2015,734,Música - Licenciatura Plena,15,3,69,20.00,12.44,23.12,2012
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2009,203,Odontologia,75,36,358,48.00,75.05,51.69,2005
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2010,203,Odontologia,72,64,354,88.88,79.22,56.18,2006
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2011,203,Odontologia,74,66,353,89.18,84.03,49.65,2007
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2012,203,Odontologia,74,63,354,85.13,71.15,46.73,2008
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2013,203,Odontologia,80,60,356,75.00,78.59,62.08,2009
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2014,203,Odontologia,71,60,380,84.50,68.70,42.85,2010
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2015,203,Odontologia,70,31,376,44.28,30.10,23.12,2011
CENTRO DE EDUCAÇÃO - CE,2010,628,Pedagogia - Licenciatura Plena Diurno,369,71,362,19.24,36.78,56.18,2007
CENTRO DE EDUCAÇÃO - CE,2011,628,Pedagogia - Licenciatura Plena Diurno,83,65,365,78.31,57.40,49.65,2008
CENTRO DE EDUCAÇÃO - CE,2012,628,Pedagogia - Licenciatura Plena Diurno,102,53,387,51.96,63.84,46.73,2009
CENTRO DE EDUCAÇÃO - CE,2013,628,Pedagogia - Licenciatura Plena Diurno,94,63,381,67.02,59.27,62.08,2010
CENTRO DE EDUCAÇÃO - CE,2014,628,Pedagogia - Licenciatura Plena Diurno,89,47,361,52.80,46.89,42.85,2011
CENTRO DE EDUCAÇÃO - CE,2015,628,Pedagogia - Licenciatura Plena Diurno,91,1,344,1.09,12.43,23.12,2012
CENTRO DE EDUCAÇÃO - CE,2010,627,Pedagogia - Licenciatura Plena Noturno,119,21,116,17.64,36.78,56.18,2007
CENTRO DE EDUCAÇÃO - CE,2011,627,Pedagogia - Licenciatura Plena Noturno,56,23,161,41.07,57.40,49.65,2008
CENTRO DE EDUCAÇÃO - CE,2012,627,Pedagogia - Licenciatura Plena Noturno,60,28,202,46.66,63.84,46.73,2009
CENTRO DE EDUCAÇÃO - CE,2013,627,Pedagogia - Licenciatura Plena Noturno,50,24,229,48.00,59.27,62.08,2010
CENTRO DE EDUCAÇÃO - CE,2014,627,Pedagogia - Licenciatura Plena Noturno,46,21,227,45.65,46.89,42.85,2011
CENTRO DE EDUCAÇÃO - CE,2015,627,Pedagogia - Licenciatura Plena Noturno,48,16,223,33.33,12.43,23.12,2012
CENTRO DE EDUCAÇÃO - CE,2012,638,Programa Especial de Graduação de Formação de Professores pa,132,212,132,160.60,63.84,46.73,2009
CENTRO DE EDUCAÇÃO - CE,2013,638,Programa Especial de Graduação de Formação de Professores pa,294,233,393,79.25,59.27,62.08,2010
CENTRO DE EDUCAÇÃO - CE,2014,638,Programa Especial de Graduação de Formação de Professores pa,314,169,560,53.82,46.89,42.85,2011
CENTRO DE EDUCAÇÃO - CE,2015,638,Programa Especial de Graduação de Formação de Professores pa,319,70,627,21.94,12.43,23.12,2012
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2009,520,Psicologia,25,20,142,80.00,63.77,51.69,2005
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2010,520,Psicologia,42,20,133,47.61,59.10,56.18,2006
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2011,520,Psicologia,31,27,131,87.09,58.36,49.65,2007
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2012,520,Psicologia,27,22,131,81.48,51.44,46.73,2008
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2013,520,Psicologia,31,21,134,67.74,48.39,62.08,2009
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2014,520,Psicologia,26,18,132,69.23,54.43,42.85,2010
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2015,520,Psicologia,27,0,129,0.00,12.51,23.12,2011
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2009,133,Química - Bacharelado,22,4,20,18.18,34.40,51.69,2006
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2010,133,Química - Bacharelado,21,7,40,33.33,51.28,56.18,2007
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2011,133,Química - Bacharelado,24,9,59,37.50,39.96,49.65,2008
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2012,133,Química - Bacharelado,26,10,76,38.46,31.87,46.73,2009
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2013,133,Química - Bacharelado,21,6,79,28.57,108.33,62.08,2010
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2014,133,Química - Bacharelado,27,7,82,25.92,28.98,42.85,2011
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2015,133,Química - Bacharelado,27,2,83,7.40,8.90,23.12,2012
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2008,109,Química - Licenciatura Plena,40,19,154,47.50,39.48,43.15,2005
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2009,109,Química - Licenciatura Plena,45,19,157,42.22,34.40,51.69,2006
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2010,109,Química - Licenciatura Plena,45,24,156,53.33,51.28,56.18,2007
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2011,109,Química - Licenciatura Plena,50,27,167,54.00,39.96,49.65,2008
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2012,109,Química - Licenciatura Plena,41,19,166,46.34,31.87,46.73,2009
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2013,109,Química - Licenciatura Plena,49,24,167,48.97,108.33,62.08,2010
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2014,109,Química - Licenciatura Plena,47,18,160,38.29,28.98,42.85,2011
